,precision,recall,f1-score,support
0,0.8575609756097561,0.879,0.8681481481481482,1000.0
1,0.9949186991869918,0.979,0.9868951612903226,1000.0
2,0.8820564516129032,0.875,0.8785140562248996,1000.0
3,0.9117063492063492,0.919,0.9153386454183267,1000.0
4,0.845437616387337,0.908,0.875602700096432,1000.0
5,0.9919028340080972,0.98,0.9859154929577465,1000.0
6,0.7942477876106194,0.718,0.754201680672269,1000.0
7,0.9497098646034816,0.982,0.9655850540806292,1000.0
8,0.9742574257425742,0.984,0.9791044776119403,1000.0
9,0.9775739041794088,0.959,0.9681978798586572,1000.0
accuracy,0.9183,0.9183,0.9183,0.9183
macro avg,0.917937190814752,0.9183,0.9177503296359371,10000.0
weighted avg,0.9179371908147519,0.9183,0.9177503296359372,10000.0
