,precision,recall,f1-score,support
0,0.9959100204498977,0.9938775510204082,0.9948927477017365,980.0
1,0.992988606485539,0.9982378854625551,0.9956063268892794,1135.0
2,0.9941916747337851,0.9951550387596899,0.9946731234866829,1032.0
3,0.9891944990176817,0.997029702970297,0.9930966469428008,1010.0
4,0.9888663967611336,0.994908350305499,0.9918781725888325,982.0
5,0.9854910714285714,0.9899103139013453,0.9876957494407159,892.0
6,0.9947312961011591,0.9853862212943633,0.9900367068694284,958.0
7,0.9931640625,0.9892996108949417,0.9912280701754386,1028.0
8,0.9969104016477858,0.9938398357289527,0.9953727506426735,974.0
9,0.9900199600798403,0.9831516352824579,0.9865738438587767,1009.0
accuracy,0.9922,0.9922,0.9922,0.9922
macro avg,0.9921467989205393,0.9920796145620508,0.9921054138596365,10000.0
weighted avg,0.9922097086909242,0.9922,0.9921971013501603,10000.0
